	Individual ID	Mutation Type	Total	Shared Count	Shared	FFPE Only Count	FFPE Only
18	H203499	SVs	690	185	0.26811594202898553	505	0.7318840579710145
19	H203500	SVs	766	36	0.04699738903394256	730	0.9530026109660574
20	H203501	SVs	1056	25	0.023674242424242424	1031	0.9763257575757576
21	H203502	SVs	953	475	0.49842602308499473	478	0.5015739769150053
22	H203503	SVs	1051	60	0.05708848715509039	991	0.9429115128449096
23	H203504	SVs	812	90	0.11083743842364532	722	0.8891625615763546
24	H203505	SVs	661	18	0.02723146747352496	643	0.972768532526475
25	H203506	SVs	573	86	0.15008726003490402	487	0.849912739965096
26	H203507	SVs	1035	42	0.04057971014492753	993	0.9594202898550724
27	H203508	SVs	1488	187	0.1256720430107527	1301	0.8743279569892473
28	H203511	SVs	788	193	0.24492385786802032	595	0.7550761421319797
29	H203512	SVs	1011	267	0.26409495548961426	744	0.7359050445103857
30	H203513	SVs	776	30	0.03865979381443299	746	0.961340206185567
31	H203514	SVs	881	21	0.02383654937570942	860	0.9761634506242906
32	H203515	SVs	772	124	0.16062176165803108	648	0.8393782383419689
33	H203516	SVs	605	38	0.0628099173553719	567	0.9371900826446281
34	H203517	SVs	697	61	0.08751793400286945	636	0.9124820659971306
35	H203518	SVs	729	65	0.08916323731138547	664	0.9108367626886146
36	H203519	SVs	655	26	0.03969465648854962	629	0.9603053435114504
37	H203520	SVs	868	49	0.056451612903225805	819	0.9435483870967742
38	H203522	SVs	3210	7	0.0021806853582554517	3203	0.9978193146417446
39	H203523	SVs	1471	504	0.34262406526172673	967	0.6573759347382733
40	H203524	SVs	1739	645	0.3709028177113283	1094	0.6290971822886716
41	H203525	SVs	760	268	0.3526315789473684	492	0.6473684210526316
42	H203526	SVs	619	30	0.048465266558966075	589	0.9515347334410339
43	H203527	SVs	552	47	0.08514492753623189	505	0.9148550724637681
44	H203530	SVs	883	48	0.05436013590033975	835	0.9456398640996603
45	H203531	SVs	867	112	0.12918108419838523	755	0.8708189158016147
46	H203532	SVs	727	25	0.0343878954607978	702	0.9656121045392022
47	H203533	SVs	375	34	0.09066666666666667	341	0.9093333333333333
48	H203534	SVs	730	14	0.019178082191780823	716	0.9808219178082191
49	H203535	SVs	907	40	0.044101433296582136	867	0.9558985667034179
50	H203537	SVs	918	71	0.07734204793028322	847	0.9226579520697168
51	H203539	SVs	896	180	0.20089285714285715	716	0.7991071428571429
52	H203540	SVs	1145	45	0.039301310043668124	1100	0.9606986899563319
53	H203541	SVs	683	46	0.06734992679355783	637	0.9326500732064422
54	H203542	SVs	2180	166	0.07614678899082569	2014	0.9238532110091743
55	H203544	SVs	2366	541	0.22865595942519018	1825	0.7713440405748098
